gamma,l,rho
16.0,11.0,2.0
10.0,17.0,0.0
12.0,17.0,0.1
12.0,18.0,0.25
6.0,13.0,0.5
22.0,23.0,1.0
8.0,9.0,2.0
8.0,15.0,0.0
18.0,21.0,0.1
22.0,24.0,0.25
34.0,32.0,0.5
14.0,19.0,1.0
6.0,10.0,2.0
6.0,13.0,0.0
16.0,20.0,0.1
12.0,17.0,0.25
8.0,13.0,0.5
12.0,17.0,1.0
20.0,13.0,2.0
18.0,21.0,0.0
6.0,13.0,0.1
14.0,18.0,0.25
16.0,20.0,0.5
22.0,22.0,1.0
12.0,14.0,2.0
12.0,19.0,0.0
8.0,14.0,0.1
24.0,25.0,0.25
10.0,17.0,0.5
16.0,19.0,1.0
24.0,24.0,2.0
20.0,23.0,0.0
10.0,16.0,0.1
2.0,11.0,0.25
10.0,17.0,0.5
12.0,17.0,1.0
20.0,21.0,2.0
16.0,21.0,0.0
20.0,25.0,0.1
6.0,13.0,0.25
26.0,25.0,0.5
10.0,17.0,1.0
28.0,27.0,2.0
0.0,9.0,0.0
14.0,19.0,0.1
14.0,19.0,0.25
8.0,16.0,0.5
18.0,21.0,1.0
16.0,18.0,2.0
8.0,15.0,0.0
6.0,14.0,0.1
8.0,16.0,0.25
16.0,20.0,0.5
16.0,19.0,1.0
16.0,10.0,2.0
2.0,10.0,0.0
28.0,28.0,0.1
14.0,16.0,0.25
8.0,15.0,0.5
12.0,16.0,1.0
30.0,17.0,2.0
20.0,24.0,0.0
18.0,20.0,0.1
8.0,15.0,0.25
10.0,16.0,0.5
22.0,23.0,1.0
18.0,15.0,2.0
4.0,13.0,0.0
16.0,20.0,0.1
20.0,23.0,0.25
12.0,18.0,0.5
14.0,18.0,1.0
32.0,30.0,2.0
16.0,21.0,0.0
14.0,17.0,0.1
8.0,14.0,0.25
14.0,18.0,0.5
10.0,14.0,1.0
10.0,14.0,2.0
26.0,27.0,0.0
12.0,17.0,0.1
8.0,15.0,0.25
10.0,16.0,0.5
22.0,23.0,1.0
12.0,11.0,2.0
8.0,16.0,0.0
16.0,20.0,0.1
6.0,12.0,0.25
16.0,20.0,0.5
10.0,16.0,1.0
14.0,11.0,2.0
12.0,18.0,0.0
4.0,12.0,0.1
8.0,15.0,0.25
14.0,19.0,0.5
44.0,25.0,1.0
16.0,21.0,2.0
14.0,18.0,0.0
16.0,20.0,0.1
14.0,18.0,0.25
22.0,23.0,0.5
44.0,27.0,1.0
22.0,18.0,2.0
12.0,18.0,0.0
8.0,15.0,0.1
8.0,16.0,0.25
16.0,20.0,0.5
22.0,24.0,1.0
26.0,17.0,2.0
6.0,16.0,0.0
18.0,24.0,0.1
14.0,18.0,0.25
12.0,20.0,0.5
24.0,12.0,1.0
24.0,24.0,2.0
12.0,17.0,0.0
24.0,25.0,0.1
18.0,22.0,0.25
10.0,14.0,0.5
10.0,16.0,1.0
24.0,16.0,2.0
6.0,14.0,0.0
12.0,22.0,0.1
6.0,16.0,0.25
14.0,18.0,0.5
20.0,23.0,1.0
18.0,22.0,2.0
20.0,23.0,0.0
12.0,18.0,0.1
12.0,16.0,0.25
18.0,21.0,0.5
14.0,16.0,1.0
28.0,28.0,2.0
4.0,11.0,0.0
12.0,18.0,0.1
18.0,22.0,0.25
4.0,12.0,0.5
20.0,22.0,1.0
24.0,16.0,2.0
16.0,21.0,0.0
20.0,22.0,0.1
12.0,18.0,0.25
14.0,17.0,0.5
14.0,19.0,1.0
18.0,11.0,2.0
22.0,25.0,0.0
30.0,30.0,0.1
18.0,21.0,0.25
16.0,20.0,0.5
16.0,18.0,1.0
16.0,19.0,2.0
10.0,17.0,0.0
12.0,19.0,0.1
2.0,11.0,0.25
24.0,26.0,0.5
12.0,18.0,1.0
12.0,12.0,2.0
6.0,16.0,0.0
6.0,13.0,0.1
10.0,16.0,0.25
2.0,10.0,0.5
6.0,12.0,1.0
22.0,12.0,2.0
6.0,14.0,0.0
0.0,10.0,0.1
14.0,18.0,0.25
4.0,12.0,0.5
14.0,17.0,1.0
12.0,17.0,2.0
16.0,20.0,0.0
12.0,19.0,0.1
6.0,12.0,0.25
14.0,19.0,0.5
10.0,16.0,1.0
10.0,16.0,2.0
20.0,22.0,0.0
12.0,17.0,0.1
14.0,16.0,0.25
14.0,19.0,0.5
20.0,23.0,1.0
18.0,13.0,2.0
12.0,19.0,0.0
18.0,21.0,0.1
16.0,21.0,0.25
16.0,20.0,0.5
14.0,17.0,1.0
12.0,18.0,2.0
10.0,16.0,0.0
4.0,11.0,0.1
22.0,23.0,0.25
20.0,21.0,0.5
14.0,18.0,1.0
22.0,24.0,2.0
10.0,16.0,0.0
4.0,13.0,0.1
4.0,12.0,0.25
16.0,19.0,0.5
38.0,35.0,1.0
10.0,15.0,2.0
10.0,16.0,0.0
8.0,14.0,0.1
18.0,22.0,0.25
14.0,18.0,0.5
20.0,25.0,1.0
6.0,12.0,2.0
10.0,16.0,0.0
6.0,13.0,0.1
18.0,23.0,0.25
14.0,18.0,0.5
32.0,30.0,1.0
16.0,22.0,2.0
24.0,25.0,0.0
2.0,11.0,0.1
14.0,19.0,0.25
26.0,27.0,0.5
20.0,11.0,1.0
22.0,21.0,2.0
4.0,13.0,0.0
10.0,18.0,0.1
20.0,22.0,0.25
14.0,19.0,0.5
10.0,14.0,1.0
28.0,17.0,2.0
8.0,17.0,0.0
22.0,23.0,0.1
6.0,13.0,0.25
12.0,19.0,0.5
16.0,20.0,1.0
12.0,18.0,2.0
18.0,22.0,0.0
8.0,15.0,0.1
10.0,14.0,0.25
10.0,15.0,0.5
18.0,18.0,1.0
8.0,14.0,2.0
6.0,14.0,0.0
12.0,17.0,0.1
18.0,22.0,0.25
16.0,19.0,0.5
16.0,21.0,1.0
32.0,29.0,2.0
10.0,16.0,0.0
18.0,22.0,0.1
8.0,15.0,0.25
12.0,18.0,0.5
18.0,21.0,1.0
24.0,15.0,2.0
4.0,12.0,0.0
6.0,14.0,0.1
16.0,18.0,0.25
8.0,15.0,0.5
16.0,19.0,1.0
16.0,9.0,2.0
0.0,10.0,0.0
6.0,13.0,0.1
8.0,15.0,0.25
10.0,17.0,0.5
30.0,18.0,1.0
16.0,20.0,2.0
12.0,17.0,0.0
14.0,20.0,0.1
20.0,22.0,0.25
6.0,13.0,0.5
18.0,22.0,1.0
20.0,14.0,2.0
16.0,20.0,0.0
6.0,14.0,0.1
8.0,16.0,0.25
20.0,25.0,0.5
18.0,21.0,1.0
14.0,11.0,2.0
10.0,17.0,0.0
8.0,16.0,0.1
6.0,13.0,0.25
24.0,24.0,0.5
22.0,24.0,1.0
20.0,23.0,2.0
10.0,16.0,0.0
10.0,17.0,0.1
10.0,15.0,0.25
16.0,21.0,0.5
18.0,21.0,1.0
20.0,21.0,2.0
4.0,12.0,0.0
16.0,20.0,0.1
12.0,17.0,0.25
20.0,22.0,0.5
12.0,16.0,1.0
22.0,25.0,2.0
2.0,11.0,0.0
10.0,17.0,0.1
12.0,17.0,0.25
14.0,19.0,0.5
8.0,14.0,1.0
28.0,23.0,2.0
12.0,18.0,0.0
14.0,19.0,0.1
14.0,19.0,0.25
8.0,15.0,0.5
20.0,22.0,1.0
12.0,18.0,2.0
34.0,32.0,0.0
12.0,17.0,0.1
4.0,12.0,0.25
28.0,28.0,0.5
26.0,28.0,1.0
18.0,12.0,2.0
20.0,22.0,0.0
20.0,26.0,0.1
18.0,23.0,0.25
20.0,23.0,0.5
30.0,21.0,1.0
20.0,22.0,2.0
12.0,17.0,0.0
2.0,12.0,0.1
6.0,14.0,0.25
28.0,31.0,0.5
10.0,16.0,1.0
12.0,19.0,2.0
6.0,14.0,0.0
8.0,15.0,0.1
12.0,18.0,0.25
20.0,23.0,0.5
18.0,22.0,1.0
26.0,25.0,2.0
16.0,21.0,0.0
20.0,23.0,0.1
10.0,16.0,0.25
14.0,19.0,0.5
18.0,22.0,1.0
16.0,21.0,2.0
24.0,26.0,0.0
14.0,19.0,0.1
12.0,18.0,0.25
6.0,13.0,0.5
14.0,7.0,1.0
14.0,9.0,2.0
22.0,25.0,0.0
2.0,12.0,0.1
14.0,19.0,0.25
8.0,15.0,0.5
4.0,13.0,1.0
14.0,19.0,2.0
16.0,20.0,0.0
10.0,16.0,0.1
2.0,8.0,0.25
2.0,11.0,0.5
22.0,23.0,1.0
6.0,15.0,2.0
14.0,19.0,0.0
14.0,19.0,0.1
14.0,19.0,0.25
18.0,20.0,0.5
28.0,28.0,1.0
16.0,19.0,2.0
2.0,10.0,0.0
10.0,16.0,0.1
14.0,19.0,0.25
6.0,13.0,0.5
16.0,20.0,1.0
24.0,15.0,2.0
16.0,19.0,0.0
10.0,16.0,0.1
12.0,17.0,0.25
20.0,22.0,0.5
8.0,15.0,1.0
18.0,18.0,2.0
8.0,17.0,0.0
14.0,18.0,0.1
10.0,16.0,0.25
10.0,15.0,0.5
10.0,16.0,1.0
22.0,23.0,2.0
22.0,25.0,0.0
12.0,18.0,0.1
8.0,13.0,0.25
18.0,11.0,0.5
22.0,24.0,1.0
28.0,17.0,2.0
10.0,16.0,0.0
16.0,21.0,0.1
12.0,19.0,0.25
12.0,17.0,0.5
6.0,7.0,1.0
8.0,15.0,2.0
18.0,22.0,0.0
12.0,16.0,0.1
28.0,30.0,0.25
10.0,16.0,0.5
42.0,23.0,1.0
6.0,11.0,2.0
14.0,18.0,0.0
6.0,13.0,0.1
8.0,14.0,0.25
32.0,29.0,0.5
12.0,18.0,1.0
24.0,28.0,2.0
14.0,18.0,0.0
16.0,21.0,0.1
22.0,24.0,0.25
16.0,20.0,0.5
16.0,19.0,1.0
24.0,13.0,2.0
0.0,9.0,0.0
14.0,19.0,0.1
6.0,13.0,0.25
18.0,21.0,0.5
18.0,20.0,1.0
10.0,14.0,2.0
4.0,13.0,0.0
4.0,11.0,0.1
12.0,18.0,0.25
18.0,21.0,0.5
20.0,12.0,1.0
20.0,13.0,2.0
16.0,22.0,0.0
10.0,17.0,0.1
16.0,21.0,0.25
22.0,24.0,0.5
10.0,17.0,1.0
12.0,12.0,2.0
12.0,18.0,0.0
4.0,12.0,0.1
16.0,20.0,0.25
8.0,14.0,0.5
16.0,14.0,1.0
18.0,21.0,2.0
10.0,16.0,0.0
16.0,19.0,0.1
10.0,17.0,0.25
16.0,20.0,0.5
34.0,19.0,1.0
14.0,18.0,2.0
16.0,20.0,0.0
20.0,22.0,0.1
12.0,17.0,0.25
6.0,14.0,0.5
22.0,13.0,1.0
38.0,22.0,2.0
20.0,23.0,0.0
6.0,14.0,0.1
10.0,17.0,0.25
20.0,23.0,0.5
18.0,20.0,1.0
24.0,17.0,2.0
10.0,16.0,0.0
12.0,18.0,0.1
12.0,18.0,0.25
8.0,15.0,0.5
16.0,20.0,1.0
14.0,16.0,2.0
24.0,25.0,0.0
10.0,16.0,0.1
18.0,23.0,0.25
24.0,25.0,0.5
20.0,21.0,1.0
16.0,18.0,2.0
14.0,18.0,0.0
10.0,18.0,0.1
14.0,18.0,0.25
16.0,21.0,0.5
18.0,21.0,1.0
14.0,19.0,2.0
24.0,27.0,0.0
10.0,16.0,0.1
14.0,18.0,0.25
10.0,15.0,0.5
10.0,16.0,1.0
8.0,14.0,2.0
12.0,17.0,0.0
24.0,25.0,0.1
16.0,20.0,0.25
24.0,25.0,0.5
34.0,31.0,1.0
10.0,16.0,2.0
8.0,15.0,0.0
4.0,13.0,0.1
16.0,20.0,0.25
28.0,27.0,0.5
8.0,15.0,1.0
16.0,19.0,2.0
10.0,16.0,0.0
10.0,16.0,0.1
10.0,17.0,0.25
12.0,17.0,0.5
10.0,17.0,1.0
12.0,17.0,2.0
20.0,23.0,0.0
10.0,17.0,0.1
16.0,20.0,0.25
10.0,18.0,0.5
10.0,16.0,1.0
24.0,25.0,2.0
6.0,14.0,0.0
8.0,16.0,0.1
24.0,25.0,0.25
14.0,17.0,0.5
10.0,17.0,1.0
10.0,7.0,2.0
6.0,16.0,0.0
6.0,13.0,0.1
12.0,16.0,0.25
14.0,21.0,0.5
16.0,17.0,1.0
28.0,28.0,2.0
26.0,27.0,0.0
16.0,19.0,0.1
18.0,21.0,0.25
10.0,15.0,0.5
6.0,13.0,1.0
22.0,12.0,2.0
12.0,19.0,0.0
10.0,16.0,0.1
6.0,14.0,0.25
10.0,18.0,0.5
28.0,27.0,1.0
18.0,22.0,2.0
8.0,16.0,0.0
14.0,18.0,0.1
10.0,16.0,0.25
18.0,21.0,0.5
30.0,27.0,1.0
18.0,21.0,2.0
16.0,20.0,0.0
6.0,15.0,0.1
30.0,31.0,0.25
12.0,17.0,0.5
20.0,22.0,1.0
28.0,18.0,2.0
16.0,20.0,0.0
14.0,20.0,0.1
10.0,20.0,0.25
16.0,19.0,0.5
28.0,18.0,1.0
22.0,24.0,2.0
4.0,12.0,0.0
14.0,19.0,0.1
8.0,14.0,0.25
12.0,14.0,0.5
24.0,24.0,1.0
20.0,22.0,2.0
12.0,18.0,0.0
12.0,17.0,0.1
14.0,18.0,0.25
32.0,31.0,0.5
16.0,20.0,1.0
24.0,15.0,2.0
10.0,16.0,0.0
8.0,15.0,0.1
4.0,12.0,0.25
12.0,16.0,0.5
8.0,14.0,1.0
10.0,15.0,2.0
16.0,20.0,0.0
8.0,15.0,0.1
10.0,18.0,0.25
22.0,23.0,0.5
4.0,12.0,1.0
14.0,17.0,2.0
12.0,18.0,0.0
14.0,18.0,0.1
30.0,28.0,0.25
8.0,15.0,0.5
18.0,17.0,1.0
24.0,22.0,2.0
12.0,17.0,0.0
24.0,25.0,0.1
14.0,17.0,0.25
26.0,27.0,0.5
30.0,28.0,1.0
12.0,16.0,2.0
12.0,17.0,0.0
10.0,16.0,0.1
18.0,20.0,0.25
20.0,21.0,0.5
20.0,23.0,1.0
8.0,16.0,2.0
16.0,20.0,0.0
14.0,20.0,0.1
30.0,29.0,0.25
34.0,23.0,0.5
12.0,15.0,1.0
6.0,8.0,2.0
10.0,16.0,0.0
20.0,24.0,0.1
10.0,16.0,0.25
14.0,19.0,0.5
16.0,24.0,1.0
24.0,24.0,2.0
10.0,16.0,0.0
24.0,27.0,0.1
14.0,19.0,0.25
22.0,22.0,0.5
20.0,23.0,1.0
12.0,16.0,2.0
14.0,19.0,0.0
10.0,16.0,0.1
16.0,19.0,0.25
8.0,14.0,0.5
10.0,15.0,1.0
18.0,20.0,2.0
10.0,16.0,0.0
14.0,19.0,0.1
24.0,25.0,0.25
14.0,18.0,0.5
12.0,17.0,1.0
14.0,19.0,2.0
10.0,17.0,0.0
8.0,16.0,0.1
12.0,19.0,0.25
14.0,20.0,0.5
28.0,27.0,1.0
24.0,24.0,2.0
18.0,23.0,0.0
8.0,14.0,0.1
8.0,14.0,0.25
10.0,19.0,0.5
14.0,19.0,1.0
26.0,25.0,2.0
12.0,18.0,0.0
12.0,17.0,0.1
12.0,17.0,0.25
30.0,29.0,0.5
10.0,13.0,1.0
12.0,18.0,2.0
22.0,26.0,0.0
8.0,16.0,0.1
20.0,22.0,0.25
32.0,31.0,0.5
8.0,15.0,1.0
10.0,15.0,2.0
16.0,19.0,0.0
6.0,13.0,0.1
4.0,12.0,0.25
12.0,17.0,0.5
14.0,15.0,1.0
28.0,28.0,2.0
2.0,11.0,0.0
8.0,14.0,0.1
10.0,16.0,0.25
14.0,18.0,0.5
12.0,12.0,1.0
20.0,11.0,2.0
26.0,26.0,0.0
12.0,15.0,0.1
22.0,24.0,0.25
30.0,29.0,0.5
16.0,20.0,1.0
16.0,11.0,2.0
8.0,16.0,0.0
4.0,11.0,0.1
10.0,16.0,0.25
18.0,21.0,0.5
16.0,19.0,1.0
24.0,25.0,2.0
14.0,19.0,0.0
8.0,15.0,0.1
6.0,12.0,0.25
12.0,18.0,0.5
12.0,17.0,1.0
30.0,29.0,2.0
16.0,19.0,0.0
18.0,21.0,0.1
14.0,19.0,0.25
14.0,19.0,0.5
12.0,15.0,1.0
12.0,17.0,2.0
8.0,15.0,0.0
10.0,17.0,0.1
4.0,11.0,0.25
8.0,15.0,0.5
16.0,19.0,1.0
14.0,11.0,2.0
16.0,21.0,0.0
6.0,13.0,0.1
8.0,14.0,0.25
10.0,18.0,0.5
8.0,14.0,1.0
16.0,19.0,2.0
16.0,21.0,0.0
12.0,19.0,0.1
18.0,21.0,0.25
6.0,14.0,0.5
6.0,14.0,1.0
12.0,17.0,2.0
10.0,16.0,0.0
10.0,20.0,0.1
20.0,22.0,0.25
6.0,12.0,0.5
14.0,19.0,1.0
18.0,9.0,2.0
14.0,20.0,0.0
18.0,21.0,0.1
12.0,18.0,0.25
8.0,15.0,0.5
22.0,24.0,1.0
18.0,21.0,2.0
22.0,24.0,0.0
12.0,17.0,0.1
16.0,19.0,0.25
20.0,24.0,0.5
20.0,27.0,1.0
14.0,17.0,2.0
8.0,15.0,0.0
26.0,27.0,0.1
8.0,17.0,0.25
18.0,22.0,0.5
10.0,15.0,1.0
26.0,28.0,2.0
4.0,13.0,0.0
2.0,11.0,0.1
10.0,17.0,0.25
22.0,23.0,0.5
12.0,16.0,1.0
16.0,19.0,2.0
14.0,20.0,0.0
18.0,21.0,0.1
8.0,12.0,0.25
10.0,16.0,0.5
16.0,18.0,1.0
12.0,7.0,2.0
18.0,21.0,0.0
8.0,14.0,0.1
18.0,20.0,0.25
26.0,26.0,0.5
18.0,20.0,1.0
12.0,16.0,2.0
12.0,18.0,0.0
16.0,20.0,0.1
12.0,18.0,0.25
18.0,21.0,0.5
12.0,16.0,1.0
12.0,8.0,2.0
12.0,17.0,0.0
12.0,19.0,0.1
12.0,17.0,0.25
16.0,19.0,0.5
18.0,19.0,1.0
16.0,13.0,2.0
8.0,14.0,0.0
22.0,23.0,0.1
8.0,15.0,0.25
16.0,21.0,0.5
14.0,22.0,1.0
14.0,17.0,2.0
10.0,16.0,0.0
10.0,18.0,0.1
20.0,21.0,0.25
16.0,20.0,0.5
20.0,26.0,1.0
18.0,20.0,2.0
16.0,20.0,0.0
18.0,22.0,0.1
20.0,23.0,0.25
18.0,23.0,0.5
28.0,28.0,1.0
38.0,24.0,2.0
4.0,12.0,0.0
20.0,22.0,0.1
16.0,24.0,0.25
18.0,20.0,0.5
8.0,15.0,1.0
18.0,21.0,2.0
14.0,19.0,0.0
18.0,21.0,0.1
16.0,19.0,0.25
24.0,26.0,0.5
18.0,20.0,1.0
18.0,20.0,2.0
8.0,15.0,0.0
6.0,13.0,0.1
10.0,16.0,0.25
6.0,13.0,0.5
30.0,29.0,1.0
10.0,15.0,2.0
18.0,21.0,0.0
12.0,16.0,0.1
6.0,10.0,0.25
6.0,11.0,0.5
20.0,21.0,1.0
20.0,22.0,2.0
18.0,21.0,0.0
10.0,17.0,0.1
10.0,17.0,0.25
12.0,17.0,0.5
10.0,15.0,1.0
20.0,23.0,2.0
12.0,17.0,0.0
12.0,17.0,0.1
10.0,17.0,0.25
26.0,26.0,0.5
18.0,21.0,1.0
18.0,23.0,2.0
6.0,14.0,0.0
10.0,18.0,0.1
12.0,18.0,0.25
6.0,14.0,0.5
6.0,14.0,1.0
32.0,28.0,2.0
10.0,16.0,0.0
10.0,16.0,0.1
14.0,19.0,0.25
8.0,14.0,0.5
14.0,18.0,1.0
18.0,21.0,2.0
10.0,18.0,0.0
18.0,21.0,0.1
10.0,17.0,0.25
14.0,16.0,0.5
22.0,25.0,1.0
18.0,21.0,2.0
6.0,14.0,0.0
18.0,21.0,0.1
8.0,14.0,0.25
14.0,17.0,0.5
18.0,13.0,1.0
26.0,20.0,2.0
14.0,19.0,0.0
16.0,18.0,0.1
18.0,22.0,0.25
16.0,19.0,0.5
18.0,21.0,1.0
20.0,23.0,2.0
14.0,19.0,0.0
10.0,17.0,0.1
6.0,13.0,0.25
12.0,17.0,0.5
6.0,13.0,1.0
14.0,9.0,2.0
10.0,16.0,0.0
12.0,17.0,0.1
8.0,14.0,0.25
6.0,12.0,0.5
8.0,13.0,1.0
18.0,21.0,2.0
6.0,13.0,0.0
12.0,18.0,0.1
18.0,21.0,0.25
14.0,19.0,0.5
28.0,27.0,1.0
28.0,27.0,2.0
18.0,25.0,0.0
14.0,19.0,0.1
28.0,27.0,0.25
16.0,20.0,0.5
8.0,13.0,1.0
36.0,22.0,2.0
8.0,14.0,0.0
20.0,24.0,0.1
20.0,22.0,0.25
20.0,23.0,0.5
10.0,16.0,1.0
18.0,10.0,2.0
6.0,13.0,0.0
18.0,23.0,0.1
16.0,19.0,0.25
14.0,18.0,0.5
28.0,29.0,1.0
12.0,10.0,2.0
20.0,23.0,0.0
8.0,14.0,0.1
20.0,22.0,0.25
14.0,19.0,0.5
26.0,27.0,1.0
26.0,27.0,2.0
24.0,24.0,0.0
8.0,14.0,0.1
10.0,18.0,0.25
6.0,13.0,0.5
30.0,29.0,1.0
16.0,18.0,2.0
12.0,18.0,0.0
20.0,23.0,0.1
10.0,17.0,0.25
16.0,18.0,0.5
16.0,18.0,1.0
20.0,21.0,2.0
10.0,17.0,0.0
14.0,20.0,0.1
8.0,14.0,0.25
16.0,19.0,0.5
10.0,16.0,1.0
28.0,26.0,2.0
8.0,14.0,0.0
10.0,15.0,0.1
16.0,23.0,0.25
14.0,20.0,0.5
26.0,25.0,1.0
24.0,26.0,2.0
10.0,15.0,0.0
12.0,17.0,0.1
8.0,15.0,0.25
26.0,28.0,0.5
20.0,22.0,1.0
16.0,20.0,2.0
4.0,13.0,0.0
8.0,14.0,0.1
4.0,11.0,0.25
22.0,24.0,0.5
22.0,23.0,1.0
18.0,22.0,2.0
14.0,19.0,0.0
10.0,16.0,0.1
14.0,20.0,0.25
10.0,15.0,0.5
10.0,16.0,1.0
20.0,22.0,2.0
12.0,17.0,0.0
4.0,13.0,0.1
2.0,12.0,0.25
8.0,15.0,0.5
28.0,26.0,1.0
10.0,16.0,2.0
10.0,16.0,0.0
4.0,12.0,0.1
8.0,15.0,0.25
10.0,15.0,0.5
20.0,23.0,1.0
16.0,15.0,2.0
24.0,25.0,0.0
4.0,14.0,0.1
2.0,11.0,0.25
12.0,18.0,0.5
18.0,22.0,1.0
20.0,23.0,2.0
8.0,14.0,0.0
18.0,22.0,0.1
10.0,16.0,0.25
20.0,24.0,0.5
8.0,18.0,1.0
38.0,22.0,2.0
24.0,28.0,0.0
10.0,17.0,0.1
10.0,16.0,0.25
14.0,18.0,0.5
20.0,23.0,1.0
14.0,17.0,2.0
8.0,15.0,0.0
4.0,13.0,0.1
6.0,14.0,0.25
26.0,25.0,0.5
14.0,18.0,1.0
20.0,12.0,2.0
14.0,18.0,0.0
4.0,11.0,0.1
12.0,18.0,0.25
16.0,20.0,0.5
22.0,22.0,1.0
14.0,8.0,2.0
14.0,18.0,0.0
10.0,16.0,0.1
10.0,16.0,0.25
8.0,16.0,0.5
14.0,16.0,1.0
12.0,17.0,2.0
0.0,9.0,0.0
2.0,12.0,0.1
10.0,16.0,0.25
10.0,15.0,0.5
32.0,30.0,1.0
10.0,15.0,2.0
6.0,13.0,0.0
20.0,24.0,0.1
4.0,10.0,0.25
20.0,25.0,0.5
20.0,15.0,1.0
34.0,22.0,2.0
8.0,16.0,0.0
16.0,20.0,0.1
20.0,23.0,0.25
26.0,26.0,0.5
14.0,19.0,1.0
18.0,9.0,2.0
12.0,18.0,0.0
8.0,14.0,0.1
18.0,21.0,0.25
12.0,17.0,0.5
14.0,19.0,1.0
18.0,20.0,2.0
12.0,17.0,0.0
12.0,17.0,0.1
20.0,21.0,0.25
14.0,17.0,0.5
10.0,15.0,1.0
22.0,23.0,2.0
14.0,19.0,0.0
34.0,32.0,0.1
4.0,13.0,0.25
10.0,17.0,0.5
14.0,17.0,1.0
16.0,14.0,2.0
10.0,17.0,0.0
18.0,22.0,0.1
8.0,14.0,0.25
24.0,25.0,0.5
12.0,17.0,1.0
16.0,11.0,2.0
12.0,18.0,0.0
12.0,19.0,0.1
14.0,18.0,0.25
18.0,21.0,0.5
16.0,14.0,1.0
32.0,31.0,2.0
6.0,13.0,0.0
20.0,22.0,0.1
26.0,25.0,0.25
26.0,27.0,0.5
22.0,15.0,1.0
18.0,20.0,2.0
12.0,19.0,0.0
4.0,12.0,0.1
16.0,21.0,0.25
12.0,17.0,0.5
12.0,16.0,1.0
16.0,18.0,2.0
8.0,15.0,0.0
10.0,17.0,0.1
10.0,16.0,0.25
20.0,23.0,0.5
12.0,21.0,1.0
8.0,13.0,2.0
8.0,16.0,0.0
22.0,26.0,0.1
18.0,20.0,0.25
18.0,22.0,0.5
16.0,22.0,1.0
16.0,10.0,2.0
8.0,15.0,0.0
20.0,23.0,0.1
12.0,17.0,0.25
32.0,31.0,0.5
8.0,15.0,1.0
12.0,17.0,2.0
6.0,13.0,0.0
14.0,18.0,0.1
26.0,28.0,0.25
14.0,19.0,0.5
26.0,25.0,1.0
16.0,20.0,2.0
10.0,16.0,0.0
14.0,18.0,0.1
12.0,17.0,0.25
12.0,14.0,0.5
20.0,22.0,1.0
14.0,18.0,2.0
10.0,17.0,0.0
18.0,21.0,0.1
10.0,16.0,0.25
14.0,19.0,0.5
4.0,9.0,1.0
8.0,13.0,2.0
18.0,21.0,0.0
2.0,10.0,0.1
6.0,12.0,0.25
12.0,18.0,0.5
10.0,15.0,1.0
10.0,16.0,2.0
14.0,20.0,0.0
6.0,13.0,0.1
12.0,16.0,0.25
4.0,10.0,0.5
16.0,19.0,1.0
16.0,19.0,2.0
12.0,17.0,0.0
8.0,13.0,0.1
10.0,14.0,0.25
8.0,13.0,0.5
26.0,27.0,1.0
28.0,29.0,2.0
4.0,12.0,0.0
8.0,14.0,0.1
10.0,17.0,0.25
10.0,17.0,0.5
12.0,16.0,1.0
28.0,17.0,2.0
12.0,18.0,0.0
6.0,13.0,0.1
12.0,17.0,0.25
16.0,21.0,0.5
16.0,21.0,1.0
20.0,22.0,2.0
4.0,12.0,0.0
6.0,14.0,0.1
16.0,20.0,0.25
8.0,14.0,0.5
12.0,19.0,1.0
16.0,19.0,2.0
10.0,16.0,0.0
8.0,14.0,0.1
12.0,18.0,0.25
4.0,13.0,0.5
18.0,23.0,1.0
18.0,21.0,2.0
8.0,14.0,0.0
18.0,21.0,0.1
16.0,21.0,0.25
6.0,14.0,0.5
10.0,15.0,1.0
4.0,11.0,2.0
10.0,16.0,0.0
4.0,13.0,0.1
10.0,16.0,0.25
20.0,23.0,0.5
20.0,22.0,1.0
18.0,19.0,2.0
16.0,20.0,0.0
10.0,17.0,0.1
10.0,17.0,0.25
12.0,17.0,0.5
24.0,15.0,1.0
22.0,22.0,2.0
10.0,15.0,0.0
14.0,18.0,0.1
14.0,18.0,0.25
10.0,16.0,0.5
26.0,26.0,1.0
14.0,18.0,2.0
12.0,17.0,0.0
8.0,14.0,0.1
16.0,21.0,0.25
8.0,15.0,0.5
18.0,21.0,1.0
12.0,10.0,2.0
6.0,13.0,0.0
8.0,16.0,0.1
16.0,20.0,0.25
10.0,16.0,0.5
18.0,20.0,1.0
10.0,16.0,2.0
20.0,24.0,0.0
8.0,13.0,0.1
12.0,17.0,0.25
18.0,21.0,0.5
12.0,18.0,1.0
20.0,21.0,2.0
4.0,12.0,0.0
10.0,16.0,0.1
18.0,21.0,0.25
16.0,19.0,0.5
10.0,15.0,1.0
26.0,29.0,2.0
10.0,15.0,0.0
22.0,26.0,0.1
8.0,14.0,0.25
24.0,25.0,0.5
36.0,35.0,1.0
22.0,13.0,2.0
4.0,12.0,0.0
30.0,30.0,0.1
10.0,16.0,0.25
12.0,16.0,0.5
18.0,21.0,1.0
26.0,27.0,2.0
8.0,15.0,0.0
10.0,16.0,0.1
12.0,17.0,0.25
8.0,17.0,0.5
12.0,9.0,1.0
4.0,12.0,2.0
18.0,23.0,0.0
28.0,30.0,0.1
18.0,22.0,0.25
8.0,15.0,0.5
12.0,16.0,1.0
16.0,20.0,2.0
