gamma,l,rho
16.0,21.0,1.0
22.0,21.0,2.0
18.0,22.0,0.0
16.0,22.0,0.1
20.0,22.0,0.5
18.0,22.0,1.0
36.0,22.0,2.0
18.0,23.0,0.0
18.0,23.0,0.1
20.0,23.0,0.5
20.0,23.0,1.0
20.0,23.0,2.0
22.0,24.0,0.0
22.0,24.0,0.1
20.0,24.0,0.5
22.0,24.0,1.0
24.0,24.0,2.0
22.0,25.0,0.0
24.0,25.0,0.1
24.0,25.0,0.5
22.0,25.0,1.0
26.0,25.0,2.0
26.0,26.0,0.0
26.0,26.0,0.1
24.0,26.0,0.5
26.0,26.0,1.0
22.0,26.0,2.0
22.0,27.0,0.0
26.0,27.0,0.1
18.0,27.0,0.5
28.0,27.0,1.0
28.0,27.0,2.0
28.0,28.0,0.0
26.0,28.0,0.1
28.0,28.0,0.5
30.0,28.0,1.0
30.0,28.0,2.0
30.0,29.0,0.0
30.0,29.0,0.1
30.0,29.0,0.5
30.0,29.0,1.0
30.0,29.0,2.0
30.0,30.0,0.0
32.0,30.0,0.1
30.0,30.0,0.5
30.0,30.0,1.0
32.0,30.0,2.0
34.0,31.0,0.0
30.0,31.0,0.1
30.0,31.0,0.5
34.0,31.0,1.0
36.0,31.0,2.0
32.0,32.0,0.0
34.0,32.0,0.1
30.0,32.0,0.5
34.0,32.0,1.0
34.0,32.0,2.0
36.0,33.0,0.0
36.0,33.0,0.1
32.0,33.0,0.5
36.0,33.0,1.0
28.0,33.0,2.0
34.0,34.0,0.0
36.0,34.0,0.1
36.0,34.0,0.5
32.0,34.0,1.0
36.0,34.0,2.0
36.0,35.0,0.0
36.0,35.0,0.1
38.0,35.0,0.5
60.0,35.0,1.0
38.0,35.0,2.0
38.0,36.0,0.0
36.0,36.0,0.1
42.0,36.0,0.5
36.0,36.0,1.0
40.0,36.0,2.0
42.0,37.0,0.0
42.0,37.0,0.1
38.0,37.0,0.5
40.0,37.0,1.0
38.0,37.0,2.0
42.0,38.0,0.0
44.0,38.0,0.1
42.0,38.0,0.5
44.0,38.0,1.0
42.0,38.0,2.0
46.0,39.0,0.0
44.0,39.0,0.1
40.0,39.0,0.5
42.0,39.0,1.0
44.0,39.0,2.0
46.0,40.0,0.0
46.0,40.0,0.1
46.0,40.0,0.5
48.0,40.0,1.0
46.0,40.0,2.0
0.0,8.0,0.0
0.0,8.0,0.1
12.0,8.0,0.5
16.0,8.0,1.0
16.0,8.0,2.0
0.0,9.0,0.0
2.0,9.0,0.1
14.0,9.0,0.5
4.0,9.0,1.0
4.0,9.0,2.0
2.0,10.0,0.0
0.0,10.0,0.1
2.0,10.0,0.5
12.0,10.0,1.0
4.0,10.0,2.0
4.0,11.0,0.0
4.0,11.0,0.1
4.0,11.0,0.5
4.0,11.0,1.0
16.0,11.0,2.0
6.0,12.0,0.0
4.0,12.0,0.1
6.0,12.0,0.5
12.0,12.0,1.0
16.0,12.0,2.0
6.0,13.0,0.0
4.0,13.0,0.1
8.0,13.0,0.5
8.0,13.0,1.0
10.0,13.0,2.0
6.0,14.0,0.0
6.0,14.0,0.1
8.0,14.0,0.5
26.0,14.0,1.0
20.0,14.0,2.0
8.0,15.0,0.0
6.0,15.0,0.1
10.0,15.0,0.5
8.0,15.0,1.0
8.0,15.0,2.0
6.0,16.0,0.0
10.0,16.0,0.1
10.0,16.0,0.5
10.0,16.0,1.0
10.0,16.0,2.0
12.0,17.0,0.0
12.0,17.0,0.1
12.0,17.0,0.5
10.0,17.0,1.0
20.0,17.0,2.0
12.0,18.0,0.0
14.0,18.0,0.1
14.0,18.0,0.5
14.0,18.0,1.0
16.0,18.0,2.0
16.0,19.0,0.0
14.0,19.0,0.1
16.0,19.0,0.5
12.0,19.0,1.0
32.0,19.0,2.0
16.0,20.0,0.0
16.0,20.0,0.1
16.0,20.0,0.5
16.0,20.0,1.0
28.0,20.0,2.0
18.0,21.0,0.0
18.0,21.0,0.1
18.0,21.0,0.5
18.0,21.0,1.0
30.0,21.0,2.0
18.0,22.0,0.0
16.0,22.0,0.1
20.0,22.0,0.5
18.0,22.0,1.0
24.0,22.0,2.0
20.0,23.0,0.0
20.0,23.0,0.1
20.0,23.0,0.5
22.0,23.0,1.0
22.0,23.0,2.0
20.0,24.0,0.0
22.0,24.0,0.1
22.0,24.0,0.5
24.0,24.0,1.0
36.0,24.0,2.0
24.0,25.0,0.0
24.0,25.0,0.1
24.0,25.0,0.5
40.0,25.0,1.0
28.0,25.0,2.0
22.0,26.0,0.0
24.0,26.0,0.1
26.0,26.0,0.5
26.0,26.0,1.0
24.0,26.0,2.0
26.0,27.0,0.0
24.0,27.0,0.1
26.0,27.0,0.5
28.0,27.0,1.0
24.0,27.0,2.0
26.0,28.0,0.0
28.0,28.0,0.1
28.0,28.0,0.5
26.0,28.0,1.0
26.0,28.0,2.0
28.0,29.0,0.0
28.0,29.0,0.1
28.0,29.0,0.5
30.0,29.0,1.0
32.0,29.0,2.0
30.0,30.0,0.0
32.0,30.0,0.1
32.0,30.0,0.5
32.0,30.0,1.0
32.0,30.0,2.0
30.0,31.0,0.0
30.0,31.0,0.1
32.0,31.0,0.5
34.0,31.0,1.0
32.0,31.0,2.0
32.0,32.0,0.0
36.0,32.0,0.1
34.0,32.0,0.5
34.0,32.0,1.0
36.0,32.0,2.0
36.0,33.0,0.0
36.0,33.0,0.1
32.0,33.0,0.5
34.0,33.0,1.0
36.0,33.0,2.0
34.0,34.0,0.0
36.0,34.0,0.1
34.0,34.0,0.5
36.0,34.0,1.0
38.0,34.0,2.0
32.0,35.0,0.0
38.0,35.0,0.1
36.0,35.0,0.5
40.0,35.0,1.0
40.0,35.0,2.0
40.0,36.0,0.0
36.0,36.0,0.1
40.0,36.0,0.5
34.0,36.0,1.0
42.0,36.0,2.0
38.0,37.0,0.0
40.0,37.0,0.1
42.0,37.0,0.5
40.0,37.0,1.0
44.0,37.0,2.0
40.0,38.0,0.0
36.0,38.0,0.1
40.0,38.0,0.5
42.0,38.0,1.0
44.0,38.0,2.0
44.0,39.0,0.0
44.0,39.0,0.1
40.0,39.0,0.5
46.0,39.0,1.0
44.0,39.0,2.0
46.0,40.0,0.0
46.0,40.0,0.1
44.0,40.0,0.5
48.0,40.0,1.0
46.0,40.0,2.0
0.0,8.0,0.0
0.0,8.0,0.1
12.0,8.0,0.5
2.0,8.0,1.0
12.0,8.0,2.0
0.0,9.0,0.0
2.0,9.0,0.1
4.0,9.0,0.5
18.0,9.0,1.0
14.0,9.0,2.0
